Age,Attrition,BusinessTravel,DistanceFromHome,Education,EducationField,Gender,HourlyRate,JobLevel,JobSatisfaction,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
41,Yes,Travel_Rarely,1,2,Life Sciences,Female,94,2,4,Single,8,8,1,6,0
49,No,Travel_Frequently,8,1,Life Sciences,Male,61,2,2,Married,1,10,3,10,1
37,Yes,Travel_Rarely,2,2,Other,Male,92,1,3,Single,6,7,3,0,0
33,No,Travel_Frequently,3,4,Life Sciences,Female,56,1,3,Married,1,8,3,8,3
27,No,Travel_Rarely,2,1,Medical,Male,40,1,2,Married,9,6,3,2,2
32,No,Travel_Frequently,2,2,Life Sciences,Male,79,1,4,Single,0,8,2,7,3
59,No,Travel_Rarely,3,3,Medical,Female,81,1,1,Married,4,12,2,1,0
30,No,Travel_Rarely,24,1,Life Sciences,Male,67,1,3,Divorced,1,1,3,1,0
38,No,Travel_Frequently,23,3,Life Sciences,Male,44,3,3,Single,0,10,3,9,1
36,No,Travel_Rarely,27,3,Medical,Male,94,2,3,Married,6,17,2,7,7
35,No,Travel_Rarely,16,3,Medical,Male,84,1,2,Married,0,6,3,5,0
29,No,Travel_Rarely,15,2,Life Sciences,Female,49,2,3,Single,0,10,3,9,0
31,No,Travel_Rarely,26,1,Life Sciences,Male,31,1,3,Divorced,1,5,2,5,4
34,No,Travel_Rarely,19,2,Medical,Male,93,1,4,Divorced,0,3,3,2,1
28,Yes,Travel_Rarely,24,3,Life Sciences,Male,50,1,3,Single,5,6,3,4,0
29,No,Travel_Rarely,21,4,Life Sciences,Female,51,3,1,Divorced,1,10,3,10,8
32,No,Travel_Rarely,5,2,Life Sciences,Male,80,1,2,Divorced,0,7,2,6,0
22,No,Non-Travel,16,2,Medical,Male,96,1,4,Divorced,1,1,2,1,0
53,No,Travel_Rarely,2,4,Life Sciences,Female,78,4,4,Married,2,31,3,25,3
38,No,Travel_Rarely,2,3,Life Sciences,Male,45,1,4,Single,5,6,3,3,1
24,No,Non-Travel,11,2,Other,Female,96,2,3,Divorced,0,5,2,4,1
36,Yes,Travel_Rarely,9,4,Life Sciences,Male,82,1,1,Single,7,10,3,5,0
34,No,Travel_Rarely,7,4,Life Sciences,Female,53,3,2,Single,0,13,3,12,2
21,No,Travel_Rarely,15,2,Life Sciences,Male,96,1,4,Single,1,0,3,0,0
34,Yes,Travel_Rarely,6,1,Medical,Male,83,1,1,Single,2,8,3,4,1
53,No,Travel_Rarely,5,3,Other,Female,58,5,3,Divorced,4,26,2,14,4
32,Yes,Travel_Frequently,16,1,Life Sciences,Female,72,1,1,Single,1,10,3,10,6
42,No,Travel_Rarely,8,4,Marketing,Male,48,2,2,Married,0,10,3,9,4
44,No,Travel_Rarely,7,4,Medical,Female,42,3,4,Married,3,24,3,22,5
46,No,Travel_Rarely,2,4,Marketing,Female,83,5,1,Single,3,22,2,2,2
33,No,Travel_Rarely,2,3,Medical,Male,78,1,4,Single,4,7,3,1,0
44,No,Travel_Rarely,10,4,Other,Male,41,2,4,Married,2,9,4,4,1
30,No,Travel_Rarely,9,2,Medical,Male,83,1,3,Single,1,10,3,10,1
39,Yes,Travel_Rarely,5,3,Technical Degree,Male,56,2,4,Married,3,19,4,1,0
24,Yes,Travel_Rarely,1,3,Medical,Male,61,1,4,Married,2,6,2,2,2
43,No,Travel_Rarely,2,2,Medical,Female,72,1,3,Divorced,1,6,2,5,1
50,Yes,Travel_Rarely,3,2,Marketing,Male,86,1,3,Married,1,3,3,3,0
35,No,Travel_Rarely,2,3,Marketing,Female,97,1,4,Married,1,2,3,2,2
36,No,Travel_Rarely,5,4,Life Sciences,Female,82,1,1,Married,9,6,4,1,0
33,No,Travel_Frequently,1,3,Life Sciences,Female,42,2,1,Married,2,10,3,5,1
35,No,Travel_Rarely,4,2,Other,Male,75,1,4,Divorced,1,1,3,1,0
27,No,Travel_Rarely,2,4,Life Sciences,Female,33,1,1,Divorced,1,1,3,1,0
26,Yes,Travel_Rarely,25,3,Life Sciences,Male,48,1,3,Single,1,1,2,1,0
27,No,Travel_Frequently,8,3,Life Sciences,Male,37,3,3,Single,1,9,3,9,1
30,No,Travel_Frequently,1,2,Medical,Female,58,2,4,Single,1,12,3,12,3
41,Yes,Travel_Rarely,12,3,Technical Degree,Female,49,5,3,Married,1,23,3,22,15
34,No,Non-Travel,23,4,Marketing,Male,72,2,3,Single,0,10,3,9,8
37,No,Travel_Rarely,19,2,Life Sciences,Male,73,1,2,Married,4,8,3,1,0
46,No,Travel_Frequently,5,4,Marketing,Male,98,2,4,Single,4,14,3,9,0
35,No,Travel_Rarely,8,1,Life Sciences,Male,36,1,4,Married,1,1,3,1,0
48,Yes,Travel_Rarely,1,2,Life Sciences,Male,98,3,3,Single,9,23,3,1,0
28,Yes,Travel_Rarely,5,4,Technical Degree,Male,50,1,3,Single,1,2,2,2,2
44,No,Travel_Rarely,1,5,Marketing,Female,75,2,1,Divorced,5,9,2,4,1
35,No,Non-Travel,11,2,Medical,Male,79,3,1,Married,2,10,3,4,2
26,No,Travel_Rarely,23,3,Marketing,Female,47,2,4,Married,7,5,2,2,0
33,No,Travel_Frequently,1,2,Life Sciences,Female,98,3,4,Single,1,15,3,15,8
35,No,Travel_Frequently,18,5,Life Sciences,Male,71,3,1,Married,1,9,2,9,1
35,No,Travel_Rarely,23,4,Medical,Female,30,1,1,Married,3,4,3,2,2
31,No,Travel_Rarely,7,4,Life Sciences,Male,48,2,4,Divorced,3,10,2,7,1
37,No,Travel_Rarely,1,4,Life Sciences,Male,51,2,3,Divorced,1,7,4,7,0
32,No,Travel_Rarely,1,3,Medical,Male,33,2,4,Married,1,9,3,9,7
38,No,Travel_Frequently,29,5,Life Sciences,Female,50,2,4,Single,1,10,3,10,9
50,No,Travel_Rarely,7,2,Medical,Female,43,5,3,Divorced,5,29,2,27,13
59,No,Travel_Rarely,25,3,Life Sciences,Female,99,3,1,Single,7,28,2,21,7
36,No,Travel_Rarely,8,3,Technical Degree,Female,59,3,3,Divorced,1,17,3,17,12
55,No,Travel_Rarely,8,3,Medical,Female,33,4,3,Divorced,2,21,3,5,0
36,No,Travel_Frequently,11,3,Life Sciences,Male,95,2,2,Single,1,6,3,6,0
45,No,Travel_Rarely,7,3,Life Sciences,Male,59,3,1,Divorced,2,25,3,1,0
35,No,Travel_Frequently,1,3,Medical,Male,79,1,1,Married,4,5,2,3,1
36,Yes,Travel_Rarely,9,3,Medical,Male,79,1,3,Married,0,2,2,1,0
59,No,Travel_Frequently,1,1,Life Sciences,Female,57,2,3,Single,7,20,2,4,1
29,No,Travel_Rarely,2,3,Life Sciences,Male,76,1,2,Married,0,6,3,5,0
31,No,Travel_Rarely,1,4,Medical,Male,87,1,2,Single,1,1,3,1,1
32,No,Travel_Rarely,1,3,Life Sciences,Male,66,2,2,Married,1,10,3,10,0
36,No,Travel_Rarely,6,3,Life Sciences,Female,55,1,4,Married,3,5,3,1,0
31,No,Travel_Rarely,8,4,Life Sciences,Female,61,2,4,Single,1,11,3,11,1
35,No,Travel_Rarely,1,4,Marketing,Male,32,2,1,Single,0,16,3,15,2
45,No,Travel_Rarely,6,4,Other,Male,52,3,1,Married,4,17,4,0,0
37,No,Travel_Rarely,7,4,Medical,Male,30,3,3,Single,4,16,4,5,0
46,No,Travel_Rarely,5,2,Medical,Male,80,2,2,Divorced,8,16,3,4,0
30,No,Travel_Rarely,1,1,Life Sciences,Male,55,2,4,Married,1,10,2,10,3
35,No,Travel_Rarely,1,3,Medical,Male,30,1,3,Single,1,6,3,6,0
55,No,Travel_Rarely,1,2,Life Sciences,Male,70,3,4,Married,3,24,3,1,1
38,No,Non-Travel,6,3,Medical,Female,79,2,4,Divorced,7,17,3,13,1
34,No,Travel_Rarely,1,2,Medical,Male,94,2,2,Married,1,5,3,5,1
56,No,Travel_Rarely,7,3,Life Sciences,Male,49,3,4,Single,4,37,2,6,0
23,No,Travel_Rarely,2,1,Technical Degree,Male,62,1,1,Divorced,3,3,3,0,0
51,No,Travel_Rarely,9,4,Life Sciences,Male,96,1,4,Married,3,10,3,4,0
30,No,Travel_Rarely,2,3,Life Sciences,Male,99,2,4,Married,1,11,3,11,10
46,Yes,Travel_Rarely,9,2,Medical,Male,64,3,4,Single,1,9,3,9,4
40,No,Travel_Frequently,1,4,Life Sciences,Male,78,4,2,Married,1,22,2,22,11
51,No,Travel_Rarely,21,4,Marketing,Male,71,2,4,Single,0,11,1,10,1
30,No,Travel_Rarely,4,2,Medical,Female,63,2,2,Divorced,1,11,2,11,2
46,No,Travel_Frequently,1,3,Medical,Male,40,3,1,Married,2,21,2,10,9
32,No,Travel_Rarely,6,4,Medical,Male,87,2,3,Single,1,12,3,11,5
54,No,Travel_Rarely,2,4,Technical Degree,Female,60,3,3,Married,9,16,1,4,0
24,No,Travel_Rarely,3,2,Other,Female,33,2,3,Married,0,4,2,3,0
28,No,Non-Travel,4,3,Medical,Male,43,2,3,Married,1,5,4,5,0
58,No,Travel_Rarely,10,4,Medical,Male,37,4,3,Single,0,38,2,37,1
44,No,Non-Travel,23,3,Medical,Male,67,2,2,Married,4,17,4,3,1
37,Yes,Travel_Rarely,6,4,Human Resources,Male,63,1,1,Divorced,4,7,3,3,0
32,No,Travel_Rarely,1,1,Life Sciences,Male,71,1,1,Single,1,1,3,1,0
20,Yes,Travel_Frequently,6,3,Life Sciences,Female,66,1,4,Single,1,1,3,1,1
34,No,Travel_Rarely,6,4,Other,Female,41,2,3,Single,1,16,3,16,2
37,No,Non-Travel,2,2,Life Sciences,Male,100,2,4,Divorced,5,17,4,1,0
